millis,mouseX,mouseY,pose_Rx,pose_Ry,pose_Rz,isPrimary
31927,1465,316,0.007449,0.211867,0.023784,0
33011,2808,173,0.015929,0.234992,0.005141,1
34116,115,455,-0.052946,-0.027883,0.037323,0
35426,2678,241,0.030988,0.273117,-0.013983,1
36479,692,574,-0.028638,0.114453,0.005579,0
38328,2133,224,0.036757,0.251645,-0.027486,1
39297,1502,92,0.053001,0.140186,0.004035,0
41251,2351,518,0.05509,0.261369,-0.064962,1
42143,1274,276,0.064209,0.143368,-0.011966,0
43434,3476,548,0.113804,0.413257,-0.06918,1
44568,463,554,-0.035983,0.059181,-0.029607,0
45921,2978,106,0.03969,0.293629,-0.056515,1
47184,94,589,-0.010413,-0.007243,-0.003878,0
48686,2494,295,0.065545,0.28646,-0.034398,1
49616,279,352,-0.022477,0.018367,0.017985,0
51265,3185,452,0.061191,0.367023,-0.025072,1
52521,1126,736,0.056098,0.167224,0.02055,0
53814,2170,919,0.06061,0.284711,-0.024227,1
54777,630,217,-0.063129,0.088983,-0.008033,0
56149,2009,313,0.033379,0.285243,-0.08012,1
57043,1589,623,0.02589,0.225323,-0.024922,0
58365,3687,820,0.131959,0.395213,-0.078147,1
59547,649,110,-0.061581,0.073745,0.001431,0
60539,2958,708,0.042706,0.320503,-0.045598,1
61662,1445,179,0.02522,0.250259,0.006474,0
62875,3300,311,0.053821,0.34306,-0.040107,1
64012,1700,509,0.053914,0.263094,-0.013622,0
65789,2645,100,0.06102,0.312116,-0.033911,1
67206,177,991,-0.023311,0.063882,0.006025,0
68565,3534,587,0.042263,0.32298,-0.007744,1
69636,1395,474,0.052911,0.231336,0.004223,0
71023,2364,558,0.07206,0.26473,-0.019364,1
72422,882,901,0.10143,0.142714,0.014287,0
73803,3203,400,0.08604,0.31745,-0.006867,1
74991,76,920,-0.024405,0.041839,0.031949,0
76223,2921,388,0.047777,0.299358,0.023385,1
77364,1010,974,0.078283,0.187209,0.060342,0
78719,3545,395,0.070181,0.339835,0.011696,1
79762,450,673,-0.02743,0.091399,0.069096,0
81152,2196,791,0.081918,0.211976,0.044397,1
82117,1079,479,0.077048,0.147542,0.042614,0
83269,2242,735,0.083887,0.192584,0.025173,1
84120,1805,496,0.067976,0.128321,0.031489,0
85297,2107,662,0.076921,0.221559,-0.011183,1
86351,491,766,-0.018071,0.052683,0.042081,0
87854,2917,601,0.055721,0.34795,0.020042,1
89008,1643,893,0.05138,0.274789,0.035835,0
90384,3221,441,0.087922,0.370626,0.013622,1
91319,1022,600,0.052736,0.193867,0.059189,0
92402,2340,793,0.036248,0.285476,0.019986,1
93525,193,999,-0.017125,0.022655,0.066412,0
95098,3588,987,0.101072,0.453149,0.028979,1
96189,196,685,-0.070556,0.038799,0.067641,0
97986,2097,529,0.017368,0.314019,0.01192,1
98981,920,986,0.049463,0.170175,0.069419,0
100232,2804,771,0.051057,0.294069,0.012968,1
101163,1176,941,0.045916,0.223662,0.044103,0
102252,2114,988,0.099747,0.34768,0.000762,1
103629,244,634,-0.039712,0.001992,0.07136,0
104888,2255,202,0.029517,0.248875,0.029991,1
105854,594,942,-0.042833,0.107256,0.048235,0
107531,2838,635,0.025271,0.318959,0.014093,1
108775,807,143,0.031466,0.116253,0.039961,0
109765,2455,346,0.034885,0.203266,0.018424,1
110916,730,783,-0.032884,0.097683,0.026799,0
112193,3283,301,0.047535,0.38468,-0.002361,1
113614,1463,202,0.027247,0.257498,0.027751,0
114874,2454,433,0.028296,0.254435,0.01617,1
115931,1493,786,0.041485,0.225757,0.029208,0
117552,3019,138,0.052319,0.388964,0.01487,1
118726,1300,364,-0.01948,0.267097,0.058908,0
119864,2466,627,0.003538,0.28312,0.025427,1
121111,1134,604,0.035075,0.184306,0.041718,0
122175,2154,880,0.036705,0.260955,-0.004743,1
123245,1718,796,0.054376,0.221841,-0.003281,0
124375,2021,564,0.061389,0.285735,-0.02751,1
125546,392,249,-0.065557,0.006501,0.035266,0
126657,2842,559,0.001445,0.273901,0.014907,1
128058,492,91,-0.113607,-0.043104,0.047461,0
129319,3369,405,-0.01137,0.305943,0.027342,1
130466,348,814,-0.069498,0.022678,0.054268,0
131506,2849,239,-0.0051,0.264105,0.031887,1
132375,1424,1001,0.023877,0.189923,0.043811,0
133316,2348,426,0.011942,0.257381,0.02435,1
134765,1548,331,-0.01719,0.221132,0.043598,0
135618,2295,494,0.004211,0.245699,0.017864,1
136980,166,950,-0.015424,0.011997,0.044288,0
138184,2506,744,0.048738,0.216685,0.037556,1
139169,323,932,-0.029184,0.028634,0.04514,0
140096,2961,302,0.01865,0.283632,0.033123,1
141562,1491,138,0.016851,0.233893,0.049458,0
142943,2964,662,0.027047,0.289843,0.007224,1
144275,841,619,-0.022918,0.126856,0.012619,0
145484,2799,187,0.012716,0.273963,0.021981,1
146675,1775,498,0.024339,0.214278,0.030122,0
147887,3194,552,0.045063,0.336633,-0.009109,1
148912,369,970,-0.052979,0.054404,0.02609,0
149926,3510,525,0.053255,0.40295,0.032748,1
