millis,mouseX,mouseY,pose_Rx,pose_Ry,pose_Rz,isPrimary
43850,152,905,0.002781,-0.196197,0.016331,0
45467,2083,807,0.078344,-0.538506,0.018862,1
46784,1048,729,-0.038997,-0.023504,0.019026,0
48171,2266,369,-0.02094,-0.528868,-0.103371,1
49490,269,612,-0.064116,-0.327033,-0.002066,0
51184,2133,490,0.140671,-0.561018,-0.110603,1
52323,82,824,-0.030867,-0.363228,0.001901,0
53563,2046,412,0.139315,-0.534771,-0.117975,1
54817,1061,524,-0.052365,-0.147892,-0.007139,0
55980,2278,926,0.01738,-0.507755,-0.078492,1
57084,1616,694,-0.071293,0.018748,-0.022357,0
59054,3515,906,-0.07207,-0.355968,-0.050009,1
61113,1806,213,-0.038342,0.101253,-0.034812,0
62415,3225,967,-0.077206,-0.339935,-0.037197,1
63945,1389,63,-0.079348,-0.02047,-0.031829,0
65350,3201,368,-0.118,-0.372443,-0.059958,1
66752,111,306,-0.072972,-0.339172,-0.025938,0
68254,3144,373,-0.076658,-0.404885,-0.0397,1
69558,1781,850,-0.028693,-0.024303,-0.03214,0
70655,2179,1009,0.053026,-0.49144,-0.041421,1
71740,1165,728,-0.030133,-0.128128,-0.01062,0
72873,2174,557,0.019656,-0.5123,-0.053804,1
74074,1774,605,-0.034948,-0.051326,0.00052,0
75267,2634,124,-0.008015,-0.521072,-0.086047,1
77055,627,273,-0.045299,-0.253396,-0.033308,0
78600,2837,489,-0.058097,-0.454276,-0.056865,1
79884,118,859,-0.002441,-0.360268,-0.004314,0
81188,2887,685,-0.053021,-0.456742,-0.018952,1
82502,1463,972,-0.001524,-0.169317,-0.040954,0
84071,2632,976,0.002793,-0.454096,-0.021188,1
85310,1162,774,0.001274,-0.171846,-0.011092,0
86690,3282,666,-0.048527,-0.341273,-0.028974,1
87928,1183,391,-0.017294,-0.1767,-0.032567,0
88991,2509,538,0.010447,-0.461166,-0.079033,1
90251,562,805,-0.016361,-0.320083,-0.029945,0
91379,3338,440,-0.051703,-0.418111,-0.041354,1
92412,1507,753,-0.011425,-0.168549,-0.042509,0
93810,2404,619,-0.013585,-0.44715,-0.040517,1
94956,1781,351,-0.047835,-0.124949,-0.000601,0
96447,2867,907,-0.028284,-0.419754,0.018382,1
97727,1214,429,-0.022281,-0.26763,-0.02172,0
98969,2802,616,-0.018828,-0.454012,0.009938,1
100187,365,677,-0.018783,-0.404784,0.018519,0
101850,2438,936,0.011859,-0.45133,0.016769,1
103044,74,843,-0.000867,-0.425587,0.045303,0
104584,3038,451,-0.007712,-0.444016,0.001564,1
105843,241,652,-0.018632,-0.430765,0.054835,0
107557,3075,567,-0.033206,-0.44824,0.032576,1
109052,100,800,-0.02159,-0.40656,0.036677,0
110572,3026,1003,-0.009983,-0.457661,0.017883,1
111944,98,670,-0.016159,-0.453243,0.037998,0
113425,2994,1000,0.012873,-0.470587,0.011471,1
114653,978,828,-0.008195,-0.303394,0.019075,0
115902,2078,892,-0.002233,-0.465187,0.011912,1
117283,623,921,-0.014366,-0.341398,0.027457,0
119018,2740,681,-0.023015,-0.455764,0.023253,1
120466,176,579,-0.028209,-0.412671,0.037252,0
122756,2378,90,0.000973,-0.462949,-0.031819,1
124240,1517,734,-0.026634,-0.16129,-0.010997,0
125985,3622,135,-0.087606,-0.406921,-0.027062,1
127587,532,325,-0.06249,-0.341671,-0.027854,0
129478,3561,114,-0.072686,-0.373616,-0.023437,1
131038,1583,697,-0.04016,-0.156523,-0.035115,0
133298,3312,904,-0.049806,-0.372086,-0.003794,1
135155,1753,133,-0.065318,-0.093337,-0.015436,0
136440,3041,104,-0.077472,-0.372779,-0.031663,1
137875,138,637,-0.066042,-0.369842,-0.008128,0
139305,3018,931,-0.036195,-0.432239,0.011069,1
140591,724,852,-0.019568,-0.352672,-0.004644,0
142566,2456,123,-0.030075,-0.499854,-0.086813,1
143897,1222,486,-0.045019,-0.252843,-0.03769,0
145287,2541,544,0.013497,-0.447331,-0.035401,1
146507,1444,142,-0.04242,-0.203569,-0.037185,0
147614,2602,522,-0.049069,-0.447262,-0.020621,1
148986,1302,469,-0.031422,-0.288148,-0.020427,0
150864,3616,458,-0.039714,-0.396717,-0.016301,1
152107,1412,614,-0.030125,-0.167213,-0.027323,0
153602,3396,451,-0.057408,-0.42327,-0.031954,1
155354,1679,256,-0.054929,-0.099984,-0.016988,0
157413,2006,230,0.034399,-0.550666,-0.080363,1
158985,1314,824,-0.02004,-0.159382,-0.018212,0
160390,3354,318,-0.047251,-0.371444,-0.024307,1
161716,424,812,-0.014422,-0.346292,-0.009437,0
163282,3050,754,-0.00524,-0.44073,0.011901,1
164421,1843,827,-0.010106,-0.171339,0.004934,0
165646,3759,695,-0.01961,-0.350453,0.00781,1
167001,547,277,-0.012524,-0.333736,0.002703,0
168166,3172,527,-0.014025,-0.395424,0.020583,1
169779,1175,313,-0.023297,-0.207277,-0.001903,0
170998,3631,398,-0.047022,-0.324971,0.000109,1
172537,728,475,-0.049568,-0.163168,0.000232,0
174007,2319,251,-0.013983,-0.454845,-0.087263,1
175229,1525,89,-0.073471,-0.042707,-0.006569,0
176312,3165,309,-0.098767,-0.362499,-0.037231,1
177368,1472,622,-0.061262,-0.106017,-0.017652,0
178521,3070,619,-0.083772,-0.355971,-0.024298,1
179651,993,294,-0.057212,-0.198299,-0.02983,0
180843,2648,263,-0.098395,-0.445527,-0.034106,1
