millis,mouseX,mouseY,pose_Rx,pose_Ry,pose_Rz,isPrimary
33546,469,245,-0.124363,-0.179674,-0.059318,0
34961,2238,716,-0.229382,-0.570546,-0.379639,1
36306,161,233,-0.188739,-0.29607,-0.083163,0
37905,2161,653,-0.193239,-0.5636,-0.352114,1
39070,890,810,-0.10826,-0.088582,-0.038382,0
41039,2416,914,-0.21352,-0.46004,-0.197271,1
42165,1320,386,-0.111437,0.06526,-0.078952,0
43557,3225,581,-0.221823,-0.372741,-0.185492,1
44747,262,548,-0.146444,-0.241179,-0.073232,0
45796,2537,451,-0.262049,-0.447457,-0.264993,1
47050,752,252,-0.18941,-0.127104,-0.070059,0
48558,2903,389,-0.253703,-0.445587,-0.286202,1
49800,1055,317,-0.184121,-0.049822,-0.096149,0
50866,2814,187,-0.217745,-0.387923,-0.240435,1
52024,1088,736,-0.129705,0.036199,-0.096142,0
54119,3121,598,-0.11197,-0.377817,-0.239113,1
55117,301,279,-0.210099,-0.362123,-0.200123,0
56603,2394,585,-0.225952,-0.464487,-0.303015,1
57888,972,381,-0.205297,-0.133167,-0.069223,0
59184,2889,860,-0.170584,-0.390236,-0.200588,1
60423,477,990,-0.100277,-0.197115,-0.089324,0
61541,3596,620,-0.242536,-0.340432,-0.174774,1
62819,1516,473,-0.100814,0.106631,-0.114449,0
64027,2269,407,-0.191911,-0.512989,-0.37161,1
65275,1363,125,-0.325693,0.046446,-0.165595,0
66525,2912,890,-0.175868,-0.357467,-0.222684,1
67935,536,999,-0.119893,-0.203443,-0.108047,0
69732,2807,159,-0.223596,-0.427778,-0.242058,1
70882,239,838,-0.15473,-0.24745,-0.111311,0
72609,3169,105,-0.19955,-0.350919,-0.246443,1
73619,493,349,-0.200824,-0.242726,-0.143057,0
74912,2817,851,-0.170752,-0.401287,-0.212862,1
76312,427,240,-0.232195,-0.311183,-0.161158,0
78122,2865,337,-0.222151,-0.401141,-0.227878,1
79227,1532,161,-0.186323,0.083119,-0.149669,0
80427,2691,348,-0.282705,-0.430923,-0.321349,1
81776,1796,730,-0.082546,0.108615,-0.112048,0
83034,3487,443,-0.192056,-0.352163,-0.21313,1
84192,1091,210,-0.2095,-0.122619,-0.123123,0
85445,3221,153,-0.204082,-0.348962,-0.203527,1
86394,1025,252,-0.2097,-0.142936,-0.133577,0
88617,2093,908,0.00286,-0.518367,-0.278991,1
89943,717,114,-0.187253,-0.286657,-0.13726,0
91410,2039,698,-0.143435,-0.532707,-0.346679,1
93098,404,835,-0.135412,-0.310649,-0.113032,0
95020,3056,440,-0.109844,-0.386355,-0.218346,1
96574,1602,830,-0.180546,-0.080283,-0.100591,0
98572,2567,864,-0.244341,-0.492899,-0.179681,1
99798,1656,896,-0.187509,-0.140722,-0.113686,0
101040,2224,138,-0.206127,-0.513432,-0.414304,1
102021,583,350,-0.174961,-0.262927,-0.14041,0
103090,3087,98,-0.17337,-0.384876,-0.223088,1
104354,219,761,-0.173682,-0.324468,-0.158244,0
105816,2849,729,-0.171951,-0.418086,-0.215139,1
107045,832,556,-0.178323,-0.214975,-0.155208,0
108116,2453,356,-0.185802,-0.457984,-0.314705,1
109424,1389,998,-0.136404,-0.17199,-0.180263,0
110757,2444,495,-0.197898,-0.526251,-0.386964,1
112187,1134,67,-0.19421,-0.227893,-0.148815,0
113520,2903,228,-0.222031,-0.433673,-0.246783,1
114643,712,561,-0.213802,-0.312691,-0.186092,0
115813,2920,325,-0.233187,-0.441596,-0.264918,1
117099,1217,447,-0.128018,-0.028818,-0.176813,0
118554,2905,883,-0.179657,-0.426546,-0.225058,1
120457,1839,112,-0.103054,0.043318,-0.181207,0
121684,2538,136,-0.320802,-0.468109,-0.315163,1
122836,265,474,-0.211315,-0.333223,-0.181397,0
124769,2312,826,-0.195395,-0.495019,-0.302214,1
126530,1735,120,-0.061813,0.099686,-0.128755,0
128073,2221,521,-0.20981,-0.547848,-0.386424,1
129617,1687,100,-0.170085,0.052115,-0.151788,0
131129,2527,930,-0.186112,-0.543652,-0.392918,1
132352,456,738,-0.16142,-0.322811,-0.144862,0
133802,3407,376,-0.156525,-0.348468,-0.267245,1
135041,756,847,-0.16938,-0.195183,-0.177753,0
135972,2610,582,-0.291334,-0.472297,-0.338515,1
137122,179,998,-0.162011,-0.327365,-0.165961,0
138343,2822,99,-0.283833,-0.451063,-0.348104,1
139548,945,70,-0.176696,-0.17158,-0.208849,0
140630,2771,132,-0.276401,-0.457134,-0.340103,1
141738,717,904,-0.177578,-0.226231,-0.209169,0
143114,2687,442,-0.277331,-0.461629,-0.340232,1
144332,1781,796,-0.114356,0.024166,-0.189787,0
145451,2891,125,-0.336332,-0.516548,-0.506449,1
146738,409,302,-0.209405,-0.347287,-0.231451,0
148223,3345,613,-0.094742,-0.376929,-0.283572,1
149551,569,219,-0.203624,-0.343619,-0.229059,0
150969,2753,997,-0.108711,-0.45039,-0.276682,1
151912,1725,596,-0.106804,0.061576,-0.157785,0
153304,2187,899,-0.222145,-0.559849,-0.41297,1
155285,1835,838,-0.111203,0.026768,-0.153558,0
156862,2729,372,-0.296326,-0.483383,-0.355921,1
158061,425,365,-0.18366,-0.321212,-0.203397,0
159706,3163,757,-0.094683,-0.398885,-0.273977,1
161145,514,280,-0.185956,-0.366846,-0.219097,0
162467,2023,792,-0.032901,-0.513882,-0.422333,1
164120,201,65,-0.181079,-0.393328,-0.195934,0
165324,2491,465,-0.049376,-0.540528,-0.433785,1
